channel,duration,num_exp,count_dot
ch1,4,2,1000.0
ch1,4,2,1000.0
ch1,4,2,1000.0
ch1,4,2,1000.0
ch1,4,2,1000.0
ch1,"0,2",3,1000.0
ch1,"0,2",3,1000.0
ch1,"0,2",3,1000.0
ch1,"0,2",3,1000.0
ch1,"0,2",3,1000.0
ch1,"0,3",3,1000.0
ch1,"0,3",3,1000.0
ch1,"0,3",3,1000.0
ch1,"0,3",3,1000.0
ch1,"0,3",3,1000.0
ch1,"0,5",3,1000.0
ch1,"0,5",3,1000.0
ch1,"0,5",3,1000.0
ch1,"0,5",3,1000.0
ch1,"0,5",3,1000.0
ch1,"0,8",3,1000.0
ch1,"0,8",3,1000.0
ch1,"0,8",3,1000.0
ch1,"0,8",3,1000.0
ch1,"0,8",3,1000.0
ch1,"1,4",3,1000.0
ch1,"1,4",3,1000.0
ch1,"1,4",3,1000.0
ch1,"1,4",3,1000.0
ch1,"1,4",3,1000.0
ch1,"2,4",3,1000.0
ch1,"2,4",3,1000.0
ch1,"2,4",3,1000.0
ch1,"2,4",3,1000.0
ch1,"2,4",3,1000.0
ch1,4,3,1000.0
ch1,4,3,1000.0
ch1,4,3,1000.0
ch1,4,3,1000.0
ch1,4,3,1000.0
ch2,"0,2",1,1000.0
ch2,"0,2",1,1000.0
ch2,"0,2",1,1000.0
ch2,"0,2",1,1000.0
ch2,"0,2",1,1000.0
ch2,"0,3",1,1000.0
ch2,"0,3",1,1000.0
ch2,"0,3",1,1000.0
ch2,"0,3",1,1000.0
ch2,"0,3",1,1000.0
ch2,"0,5",1,1000.0
ch2,"0,5",1,1000.0
ch2,"0,5",1,1000.0
ch2,"0,5",1,1000.0
ch2,"0,5",1,1000.0
ch2,"0,8",1,1000.0
ch2,"0,8",1,1000.0
ch2,"0,8",1,1000.0
ch2,"0,8",1,1000.0
ch2,"0,8",1,1000.0
ch2,"1,4",1,1000.0
ch2,"1,4",1,1000.0
ch2,"1,4",1,1000.0
ch2,"1,4",1,1000.0
ch2,"1,4",1,1000.0
ch2,"2,4",1,1000.0
ch2,"2,4",1,1000.0
ch2,"2,4",1,1000.0
ch2,"2,4",1,1000.0
ch2,"2,4",1,1000.0
ch2,4,1,1000.0
ch2,4,1,1000.0
ch2,4,1,1000.0
ch2,4,1,1000.0
ch2,4,1,1000.0
ch2,"0,2",2,1000.0
ch2,"0,2",2,1000.0
ch2,"0,2",2,1000.0
ch2,"0,2",2,1000.0
ch2,"0,2",2,1000.0
ch2,"0,3",2,1000.0
ch2,"0,3",2,1000.0
ch2,"0,3",2,1000.0
ch2,"0,3",2,1000.0
ch2,"0,3",2,1000.0
ch2,"0,5",2,1000.0
ch2,"0,5",2,1000.0
ch2,"0,5",2,1000.0
ch2,"0,5",2,1000.0
ch2,"0,5",2,1000.0
ch2,"0,8",2,1000.0
ch2,"0,8",2,1000.0
ch2,"0,8",2,1000.0
ch2,"0,8",2,1000.0
