,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
15,ch2,ch2,2,2,"0,8","0,8",0.9997455391742405,0.9998107025611906,0.999826662635261,0.999816463817531,0.9997664744463131,0.9998372303004291,0.9998582467125754,0.9997990376327377,0.9998589907033315,0.9998248726609665,0.9997455391742405,0.9998144220644576
16,ch1,ch1,3,3,"0,8","0,8",0.7998721026188894,0.6353493298926739,0.988969672207315,0.9696608398944371,0.7686309306185858,0.6785519924923594,0.9274230351402272,0.831520903283451,0.6340864766974834,0.9106652277967638,0.6340864766974834,0.8144730510642185
17,ch2,ch2,3,3,"0,8","0,8",0.9995023464411164,0.9996355925700466,0.9997161359942002,0.9997735796742246,0.9996220073457691,0.9997239754913514,0.9998092181895168,0.9997240801761006,0.9997793730812936,0.9997455349595487,0.9995023464411164,0.999703184392317
18,ch1,ch1,1,1,100,100,0.32941368223244194,0.4681162362043362,0.1877293602611062,0.2831222671944167,0.6162068787996418,0.28026297933894506,0.6393909276868062,0.6926338375571397,0.3013158048325988,0.2730218631874046,0.1877293602611062,0.40712138372948364
19,ch2,ch2,1,1,100,100,0.5136956740448253,0.613747671619052,0.6096130826639012,0.48638802957039884,0.9319770638170788,0.7186124333221654,0.7171287528394664,0.6592020451474683,0.9815297224562108,0.6639942182486116,0.48638802957039884,0.689588869372918
20,ch1,ch1,2,2,100,100,0.9776094383652856,0.8648963626018464,0.7596003758620782,0.7559498030807326,0.7304108593255909,0.787362952771243,0.8232036688110822,0.6733732498761695,0.6501807789619332,0.9268436318245499,0.6501807789619332,0.7949431121480511
21,ch2,ch2,2,2,100,100,0.9812594932173659,0.981419569574684,0.9799389422788459,0.9816385551420629,0.9846653065431525,0.9841477052147747,0.9850943971620846,0.9822927576728117,0.9824280092037978,0.9833299212850134,0.9799389422788459,0.9826214657294594
22,ch1,ch1,3,3,100,100,0.8481900537540809,0.9907800812738787,0.8923408080232217,0.8511475016148682,0.9958710753178545,0.807159499059235,0.694624194500481,0.7132374644595154,0.9230412758484916,0.8102063852120579,0.694624194500481,0.8526598339063686
23,ch2,ch2,3,3,100,100,0.9808997011147456,0.980424549424658,0.9824123771823411,0.9813651515510031,0.9792897760796399,0.9789096781309324,0.9780949493651375,0.979519113253591,0.9780823428223803,0.9779864852546029,0.9779864852546029,0.9796984124179031
24,ch1,ch1,1,1,1000,1000,0.9719638617231162,0.9122521992834141,0.9355557565121544,0.9415649392710044,0.9231734684236897,0.9094379275384238,0.9205264922702363,0.9747424090025698,0.9556230803323081,0.9273542974170323,0.9094379275384238,0.937219443177395
25,ch2,ch2,1,1,1000,1000,0.9999676778344497,0.9999641304653326,0.999621433690974,0.9996283283833587,0.9996045567627965,0.9995979940742433,0.9999931156992565,0.9996113487668637,0.9996028228766405,0.9999931904872161,0.9995979940742433,0.9997584599041133
26,ch1,ch1,2,2,1000,1000,0.942136544908501,0.9342629627907577,0.9252525840511373,0.9426487293642973,0.9370984665188941,0.9940180024767413,0.9754035728869839,0.9221381452779993,0.9898039091350264,0.9333993099746346,0.9221381452779993,0.9496162227384973
27,ch2,ch2,2,2,1000,1000,0.9993385830122017,0.9994204832248091,0.9994125247900241,0.9999164573570261,0.9993087372114647,0.9993742916158768,0.9993644642474035,0.9999694848749014,0.9999878432110647,0.9999803248444505,0.9993087372114647,0.9996073194389222
28,ch1,ch1,3,3,1000,1000,0.9992733308247774,0.9363666116110296,0.9330983849428046,0.9392639228775228,0.945826877051479,0.928677979234531,0.9345477174286372,0.9336160516907831,0.9902022979978674,0.9346651222524046,0.928677979234531,0.9475538295911837
29,ch2,ch2,3,3,1000,1000,0.9999687019833106,0.9999760091353667,0.9964309703459386,0.9964371590240655,0.9963416436379361,0.9963553982962376,0.9999946652461421,0.9963473747687412,0.9963606162246906,0.9999945961943398,0.9963416436379361,0.9978207134856769
30,ch1,ch1,1,1,2,2,0.8847109969890672,0.8599588014674584,0.8750721975063951,0.9860484703240998,0.8845049036253609,0.8650154457569417,0.877081223780687,0.9872948791475319,0.9670027826291906,0.9811682648142559,0.8599588014674584,0.9167857966040989
31,ch2,ch2,1,1,2,2,0.9998946953902277,0.9999450659326857,0.9999663530047205,0.9999909727546429,0.9999365699895173,0.9999725934391032,0.999983467609603,0.9999718506697176,0.9999915046660328,0.9999855688258606,0.9998946953902277,0.9999638642282109
32,ch1,ch1,2,2,2,2,0.918550970637466,0.9138194283549513,0.9217429611533512,0.9909550253355701,0.901841899648074,0.9260947545873324,0.904539132803681,0.9955638476009899,0.8835040331159602,0.8746660107102842,0.8746660107102842,0.9231278063947659
33,ch2,ch2,2,2,2,2,0.9999732845195427,0.9999849416338283,0.9999920323601562,0.9999962236444138,0.9999827079396324,0.9999892440458331,0.999993584039977,0.9999852471378491,0.9999955662025398,0.9999943930875443,0.9999732845195427,0.9999887224611317
34,ch1,ch1,3,3,2,2,0.908023926159407,0.9261611382999565,0.9763619696635818,0.9765702932914078,0.8953225726144485,0.9307218689276255,0.9889209663336003,0.8689463412727585,0.9060217566020801,0.9735552726958258,0.8689463412727585,0.9350606105860692
