,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
26,ch1,ch1,2,2,1000,1000,0.9410209632251365,0.9304727585558377,0.91988253971868,0.9397850139079295,0.9377425025683814,0.9939665253018086,0.9749493147070449,0.9232974907451628,0.9898126162101162,0.934187981637403,0.91988253971868,0.9485117706577502
27,ch2,ch2,2,2,1000,1000,0.9993384371976544,0.9994202381466571,0.999412465787718,0.9999162922580712,0.9993088079986935,0.9993743207855255,0.9993645342646418,0.9999694733693129,0.9999877973025053,0.9999803137283529,0.9993088079986935,0.9996072680839132
28,ch1,ch1,3,3,1000,1000,0.9992714388264261,0.9353112659706175,0.9308650327544449,0.9369880880761053,0.946385092121461,0.9293155315054487,0.9346415952486481,0.934447186207978,0.9901746187184876,0.935256018800454,0.9293155315054487,0.9472655868230071
29,ch2,ch2,3,3,1000,1000,0.9999686709977694,0.9999760066304342,0.9964304352010773,0.9964369019360181,0.9963249939952625,0.9963376423358801,0.9999946571111444,0.9963299232956343,0.9963420346440497,0.999994580261903,0.9963249939952625,0.9978135846409172
30,ch1,ch1,1,1,2,2,0.8782706530035774,0.8427180613622773,0.8711113301424741,0.9853872209311393,0.881532155721903,0.8538195264153848,0.876055516653639,0.9868767951812794,0.9623569244683963,0.980331151271134,0.8427180613622773,0.9118459335151204
31,ch2,ch2,1,1,2,2,0.9998944280246926,0.9999448519846255,0.9999661029044409,0.9999909424271302,0.9999364612492276,0.9999725145745068,0.9999833635582152,0.9999718508118255,0.9999915028668505,0.9999855672126502,0.9998944280246926,0.9999637585614165
32,ch1,ch1,2,2,2,2,0.9181752720395552,0.9142615210664771,0.9222252646950587,0.9903316213672051,0.8978007459443895,0.9242399948933363,0.9025180624355693,0.9953121546317396,0.8833296054737108,0.8732414847658995,0.8732414847658995,0.922143572731294
33,ch2,ch2,2,2,2,2,0.9999730885387274,0.9999847699276073,0.9999920013255889,0.9999961936140834,0.9999826339931448,0.9999891857909692,0.9999935840437877,0.99998517514521,0.9999955088983218,0.9999943921307692,0.9999730885387274,0.999988653340821
34,ch1,ch1,3,3,2,2,0.908707218247252,0.9269867483743257,0.9760841603927579,0.9744756331308788,0.8891824997745721,0.9277961329299753,0.9878157625007813,0.8667817199476053,0.9056961581973003,0.9731053028720328,0.8667817199476053,0.9336631336367482
35,ch2,ch2,3,3,2,2,0.99992115680079,0.9999525229174027,0.9999720003284452,0.9999880686263485,0.9999570750862428,0.9999763856776042,0.9999904895708771,0.9999809190955558,0.9999911166213792,0.9999913986549929,0.99992115680079,0.9999721133379638
36,ch1,ch1,1,1,20,20,0.9608965284110702,0.9769554847812827,0.9978390101874125,0.9560981661310155,0.955759630859494,0.9782291789289682,0.9475742185914463,0.9603906291311097,0.9748277596911616,0.9661030602933707,0.9475742185914463,0.9674673667006332
